Change Component Footprint: Designator=CT2 Old Footprint=1206 New Footprint=3528
Change Component Description : Designator=D1a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D1b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D1c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D1d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D2a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D2b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D2c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D2d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D3a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D3b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D3c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D3d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D4a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D4b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D4c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D4d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D5a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D5b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D5c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D5d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D6a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D6b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D6c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D6d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D7a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D7b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D7c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D7d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D8a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D8b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D8c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D8d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D9a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D9b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D9c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D9d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D10a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D10b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D10c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D10d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D11a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D11b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D11c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D11d Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D12a Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D12b Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D12c Old Description=PD15-21B/TR8 New Description=EL-1KL3
Change Component Description : Designator=D12d Old Description=PD15-21B/TR8 New Description=EL-1KL3
