"Bill of Material for 核心板.PrjPCB"
"On 2017/6/14 at 21:42:46"

"Comment","Pattern","Quantity","Components"

"0.5A","0805","1","F1","Fuse"
"AMS1117-3.3","AMS1117","1","U6",""
"CH340G","SOP16M","1","U2","USB2UART"
"Header 30X2","HDR2X30","2","P1, P2","Header, 30-Pin, Dual row"
"JTAG","JTAG_20","1","JTAG1",""
"KEY_M","KEY_M","1","RESET_B",""
"S8050","sot-23","1","Q1","NPN General Purpose Amplifier"
"S8550","sot-23","1","Q2","PNP General Purpose Amplifier"
"STM32F103ZET6","LQFP144","1","U1","STM32F103ZET6"
"USB","USB/SM0.8-6H5","2","USB_232, USB_HOST1",""
"W25Q128","SOIC-8","1","U3","W25X16;SST25VF016;MX25L1605"
"电容(贴片)","0603","33","C1, C2, C3, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39","CAP 10PF 50V CERAMIC 0603 SMD"
"电阻(贴片)","0603","25","R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26","RS-03K-105±5%(1MΩ)"
"二极管(贴片)","D1206","5","D1, D2, D3, D4, D5","1N4148/1206"
"二极管(贴片发光红色)","LED-0805","1","POWER1","LED-0805"
"二极管(贴片发光绿色)","LED-0805","3","LED1, LED2, LED3","LED-0805"
"集成电路贴片","MAX811T","1","U4","MAX811T/SOT143  电源管理芯片"
"集成电路贴片","SOP8","1","U5","AT24C02/SOP08"
"晶体(贴片)","32.768khz","1","Y1","HC-49SMD/XTAL 32.768KHz"
"晶体(贴片)","CRYSTAL_SMD","2","Y2, Y3","HC-49SMD/8.000MHz"
"双排插针","HDR2X3","2","BOOT1, CAN_BUS1","2x3 脚间距2.54"
"钽电容(贴片)","6032","2","CT1, CT2","100uF/10V/6032封装"
"贴片电容 1uF","0603","2","C6, C9","Capacitor 10uf"
"贴片电容10nF","0603","2","C7, C8","Capacitor 0.1uf"
"贴片电容22pF","0603","2","C4, C5","Capacitor 22pF"
"贴片电阻 1M","0603","1","R1","电阻"
